timestamp,datapath_id,src_ip,dst_ip,src_mac,dst_mac,ip_proto,src_port,dst_port,packet_count,byte_count,duration_sec,packet_rate,byte_rate,arp_reply_count,gratuitous_arp,ip_mac_changes,packet_in_rate,active_flow_count,label
1773772344.1974,42066486502464,10.0.0.3,10.0.0.7,00:00:00:00:00:02,00:00:00:00:00:06,1,0,0,5,490,0.0358,139.6277,13683.5133,1,0,0,1.3991,19,0
1773772344.1974,42066486502464,10.0.0.7,10.0.0.3,00:00:00:00:00:06,00:00:00:00:00:02,1,0,0,5,490,0.0044,1132.127,110948.4431,0,0,0,1.3991,19,0
1773772344.1974,42066486502464,10.0.0.16,10.0.0.10,00:00:00:00:00:0f,00:00:00:00:00:09,1,0,0,1,98,0.001,1000.0,98000.0,2,0,0,1.3991,19,0
1773772344.1974,42066486502464,10.0.0.10,10.0.0.16,00:00:00:00:00:09,00:00:00:00:00:0f,1,0,0,1,98,0.001,1000.0,98000.0,0,0,0,1.3991,19,0
1773772344.1974,42066486502464,10.0.0.15,10.0.0.13,00:00:00:00:00:0e,00:00:00:00:00:0c,1,0,0,1,98,0.001,1000.0,98000.0,1,0,0,1.3991,19,0
1773772344.1974,42066486502464,10.0.0.13,10.0.0.15,00:00:00:00:00:0c,00:00:00:00:00:0e,1,0,0,1,98,0.001,1000.0,98000.0,1,0,0,1.3991,19,0
1773772344.1974,42066486502464,10.0.0.17,10.0.0.13,00:00:00:00:00:10,00:00:00:00:00:0c,1,0,0,3,294,0.0042,718.7771,70440.1563,4,0,0,1.3991,19,0
1773772344.1974,42066486502464,10.0.0.13,10.0.0.17,00:00:00:00:00:0c,00:00:00:00:00:10,1,0,0,3,294,0.0273,109.7641,10756.8772,1,0,0,1.3991,19,0
1773772344.1974,42066486502464,10.0.0.16,10.0.0.2,00:00:00:00:00:0f,00:00:00:00:00:01,6,43138,5201,1,74,0.001,1000.0,74000.0,2,0,0,1.3991,19,0
1773772344.1974,42066486502464,10.0.0.2,10.0.0.16,00:00:00:00:00:01,00:00:00:00:00:0f,6,5201,43138,1,54,0.001,1000.0,54000.0,1,0,0,1.3991,19,0
1773772344.1974,42066486502464,10.0.0.17,10.0.0.3,00:00:00:00:00:10,00:00:00:00:00:02,6,37146,8080,1,74,0.001,1000.0,74000.0,4,0,0,1.3991,19,0
1773772344.1974,42066486502464,10.0.0.3,10.0.0.17,00:00:00:00:00:02,00:00:00:00:00:10,6,8080,37146,1,74,0.001,1000.0,74000.0,1,0,0,1.3991,19,0
1773772344.1974,42066486502464,10.0.0.4,10.0.0.17,00:00:00:00:00:03,00:00:00:00:00:10,1,0,0,4,392,0.0033,1196.407,117247.8905,0,0,0,1.3991,19,0
1773772354.2059,42066486502464,10.0.0.13,10.0.0.3,00:00:00:00:00:0c,00:00:00:00:00:02,6,37280,8080,1,74,0.001,1000.0,74000.0,0,0,0,2.0982,28,0
1773772354.2059,42066486502464,10.0.0.3,10.0.0.13,00:00:00:00:00:02,00:00:00:00:00:0c,6,8080,37280,1,74,0.001,1000.0,74000.0,1,0,0,2.0982,28,0
1773772354.2059,42066486502464,10.0.0.8,10.0.0.16,00:00:00:00:00:07,00:00:00:00:00:0f,1,0,0,1,98,0.001,1000.0,98000.0,1,0,0,2.0982,28,0
1773772354.2059,42066486502464,10.0.0.16,10.0.0.8,00:00:00:00:00:0f,00:00:00:00:00:07,1,0,0,1,98,0.001,1000.0,98000.0,0,0,0,2.0982,28,0
1773772354.2059,42066486502464,10.0.0.16,10.0.0.3,00:00:00:00:00:0f,00:00:00:00:00:02,6,55878,8080,1,74,0.001,1000.0,74000.0,0,0,0,2.0982,28,0
1773772354.2059,42066486502464,10.0.0.3,10.0.0.16,00:00:00:00:00:02,00:00:00:00:00:0f,6,8080,55878,1,74,0.001,1000.0,74000.0,1,0,0,2.0982,28,0
1773772354.2059,42066486502464,10.0.0.3,10.0.0.7,00:00:00:00:00:02,00:00:00:00:00:06,1,0,0,5,490,0.0358,139.6277,13683.5133,1,0,0,2.0982,28,0
1773772354.2059,42066486502464,10.0.0.7,10.0.0.3,00:00:00:00:00:06,00:00:00:00:00:02,1,0,0,5,490,0.0044,1132.127,110948.4431,0,0,0,2.0982,28,0
1773772354.2059,42066486502464,10.0.0.16,10.0.0.10,00:00:00:00:00:0f,00:00:00:00:00:09,1,0,0,1,98,0.001,1000.0,98000.0,0,0,0,2.0982,28,0
1773772354.2059,42066486502464,10.0.0.10,10.0.0.16,00:00:00:00:00:09,00:00:00:00:00:0f,1,0,0,1,98,0.001,1000.0,98000.0,0,0,0,2.0982,28,0
1773772354.2059,42066486502464,10.0.0.15,10.0.0.13,00:00:00:00:00:0e,00:00:00:00:00:0c,1,0,0,1,98,0.001,1000.0,98000.0,0,0,0,2.0982,28,0
1773772354.2059,42066486502464,10.0.0.13,10.0.0.15,00:00:00:00:00:0c,00:00:00:00:00:0e,1,0,0,1,98,0.001,1000.0,98000.0,0,0,0,2.0982,28,0
1773772354.2059,42066486502464,10.0.0.17,10.0.0.13,00:00:00:00:00:10,00:00:00:00:00:0c,1,0,0,3,294,0.0042,718.7771,70440.1563,0,0,0,2.0982,28,0
1773772354.2059,42066486502464,10.0.0.13,10.0.0.17,00:00:00:00:00:0c,00:00:00:00:00:10,1,0,0,3,294,0.0273,109.7641,10756.8772,0,0,0,2.0982,28,0
1773772354.2059,42066486502464,10.0.0.16,10.0.0.2,00:00:00:00:00:0f,00:00:00:00:00:01,6,43138,5201,1,74,0.001,1000.0,74000.0,0,0,0,2.0982,28,0
1773772354.2059,42066486502464,10.0.0.2,10.0.0.16,00:00:00:00:00:01,00:00:00:00:00:0f,6,5201,43138,1,54,0.001,1000.0,54000.0,2,0,0,2.0982,28,0
1773772354.2059,42066486502464,10.0.0.17,10.0.0.3,00:00:00:00:00:10,00:00:00:00:00:02,6,37146,8080,1,74,0.001,1000.0,74000.0,0,0,0,2.0982,28,0
1773772354.2059,42066486502464,10.0.0.3,10.0.0.17,00:00:00:00:00:02,00:00:00:00:00:10,6,8080,37146,1,74,0.001,1000.0,74000.0,1,0,0,2.0982,28,0
1773772354.2059,42066486502464,10.0.0.4,10.0.0.17,00:00:00:00:00:03,00:00:00:00:00:10,1,0,0,4,392,0.0033,1196.407,117247.8905,1,0,0,2.0982,28,0
1773772354.2059,42066486502464,10.0.0.17,10.0.0.4,00:00:00:00:00:10,00:00:00:00:00:03,1,0,0,5,490,0.0029,1732.0383,169739.7555,0,0,0,2.0982,28,0
